"","ensembl_gene_id","rnorvegicus_homolog_ensembl_gene"
"7887","ENSMUSG00000058427","ENSRNOG00000002792"
"7888","ENSMUSG00000029379","ENSRNOG00000028043"
"7889","ENSMUSG00000029371","ENSRNOG00000002843"
"7890","ENSMUSG00000029417","ENSRNOG00000022242"
"7891","ENSMUSG00000048480","ENSRNOG00000048239"
"7892","ENSMUSG00000026180","ENSRNOG00000014269"
"7893","ENSMUSG00000050232","ENSRNOG00000003305"
"7894","ENSMUSG00000045382","ENSRNOG00000003866"
"7895","ENSMUSG00000047880","ENSRNOG00000012430"
"7896","ENSMUSG00000048521","ENSRNOG00000006319"
"7897","ENSMUSG00000024560","ENSRNOG00000014614"
"7898","ENSMUSG00000044365","ENSRNOG00000045764"
"7901","ENSMUSG00000019590","ENSRNOG00000007433"
"7902","ENSMUSG00000034445","ENSRNOG00000020702"
"7903","ENSMUSG00000048796","ENSRNOG00000052232"
"7904","ENSMUSG00000037190","ENSRNOG00000021887"
"7905","ENSMUSG00000024646","ENSRNOG00000015205"
"7906","ENSMUSG00000031924","ENSRNOG00000011142"
"7907","ENSMUSG00000044795","ENSRNOG00000045742"
"7908","ENSMUSG00000057778","ENSRNOG00000024553"
"7909","ENSMUSG00000026456","ENSRNOG00000003973"
"7910","ENSMUSG00000048065","ENSRNOG00000019751"
"7911","ENSMUSG00000018042","ENSRNOG00000009592"
"7912","ENSMUSG00000032872","ENSRNOG00000010024"
"7913","ENSMUSG00000028621","ENSRNOG00000009148"
"7914","ENSMUSG00000006519","ENSRNOG00000013014"
"7915","ENSMUSG00000015340","ENSRNOG00000003622"
"7916","ENSMUSG00000039294","ENSRNOG00000036666"
"7917","ENSMUSG00000027015","ENSRNOG00000009620"
"7918","ENSMUSG00000022551","ENSRNOG00000012457"
"7923","ENSMUSG00000030447","ENSRNOG00000011945"
"7924","ENSMUSG00000020340","ENSRNOG00000006557"
"7925","ENSMUSG00000020810","ENSRNOG00000011541"
"7926","ENSMUSG00000053929","ENSRNOG00000014811"
"7928","ENSMUSG00000073001","ENSRNOG00000056740"
"7929","ENSMUSG00000039555","ENSRNOG00000022406"
"7930","ENSMUSG00000036712","ENSRNOG00000014048"
"7931","ENSMUSG00000046213","ENSRNOG00000018236"
"7932","ENSMUSG00000032323","ENSRNOG00000008074"
"7934","ENSMUSG00000022589","ENSRNOG00000030111"
"7935","ENSMUSG00000003555","ENSRNOG00000020035"
"7936","ENSMUSG00000032274","ENSRNOG00000000196"
"7937","ENSMUSG00000032315","ENSRNOG00000019500"
"7938","ENSMUSG00000032310","ENSRNOG00000016173"
"7939","ENSMUSG00000024087","ENSRNOG00000040287"
"7940","ENSMUSG00000049439","ENSRNOG00000017631"
"7941","ENSMUSG00000024365","ENSRNOG00000000428"
"7943","ENSMUSG00000038567","ENSRNOG00000013062"
"7944","ENSMUSG00000024987","ENSRNOG00000016750"
"7945","ENSMUSG00000063415","ENSRNOG00000015076"
"7946","ENSMUSG00000062432","ENSRNOG00000030698"
"7947","ENSMUSG00000026170","ENSRNOG00000017188"
"7955","ENSMUSG00000022818","ENSRNOG00000042367"
"7964","ENSMUSG00000040650","ENSRNOG00000032004"
"7969","ENSMUSG00000025197","ENSRNOG00000013291"
"7993","ENSMUSG00000060613","ENSRNOG00000021924"
"8000","ENSMUSG00000061740","ENSRNOG00000032261"
"8001","ENSMUSG00000022445","ENSRNOG00000008988"
"8015","ENSMUSG00000025479","ENSRNOG00000012458"
"8016","ENSMUSG00000052974","ENSRNOG00000032805"
"8017","ENSMUSG00000049685","ENSRNOG00000020827"
"8024","ENSMUSG00000052914","ENSRNOG00000031004"
"8025","ENSMUSG00000081362","ENSRNOG00000030466"
"8030","ENSMUSG00000015224","ENSRNOG00000042224"
"8031","ENSMUSG00000030670","ENSRNOG00000011367"
"8032","ENSMUSG00000040703","ENSRNOG00000020743"
"8033","ENSMUSG00000078787","ENSRNOG00000028891"
"8035","ENSMUSG00000027983","ENSRNOG00000011053"
"8036","ENSMUSG00000029541","ENSRNOG00000051770"
"8037","ENSMUSG00000023963","ENSRNOG00000010519"
"8039","ENSMUSG00000029727","ENSRNOG00000046643"
"8049","ENSMUSG00000021259","ENSRNOG00000007147"
"8062","ENSMUSG00000028713","ENSRNOG00000055078"
"8065","ENSMUSG00000024055","ENSRNOG00000043233"
"8066","ENSMUSG00000024292","ENSRNOG00000004786"
"8067","ENSMUSG00000073424","ENSRNOG00000032895"
"8072","ENSMUSG00000091586","ENSRNOG00000062306"
"8073","ENSMUSG00000003484","ENSRNOG00000015751"
"8079","ENSMUSG00000061126","ENSRNOG00000029478"
"8080","ENSMUSG00000090700","ENSRNOG00000043344"
"8082","ENSMUSG00000079057","ENSRNOG00000042426"
"8083","ENSMUSG00000047155","ENSRNOG00000043513"
"8085","ENSMUSG00000001467","ENSRNOG00000007234"
"8086","ENSMUSG00000028240","ENSRNOG00000009488"
"8087","ENSMUSG00000039519","ENSRNOG00000009730"
"8088","ENSMUSG00000050445","ENSRNOG00000019481"
"8096","ENSMUSG00000046806","ENSRNOG00000026958"
"8097","ENSMUSG00000062563","ENSRNOG00000058891"
"8098","ENSMUSG00000052821","ENSRNOG00000037845"
"8099","ENSMUSG00000033470","ENSRNOG00000015042"
"8100","ENSMUSG00000036731","ENSRNOG00000010600"
"8101","ENSMUSG00000046727","ENSRNOG00000018775"
"8102","ENSMUSG00000017132","ENSRNOG00000043381"
"8103","ENSMUSG00000003269","ENSRNOG00000021051"
"8104","ENSMUSG00000018001","ENSRNOG00000001065"
"8105","ENSMUSG00000018008","ENSRNOG00000007679"
"8106","ENSMUSG00000026832","ENSRNOG00000004772"
"8107","ENSMUSG00000062329","ENSRNOG00000028108"
"8108","ENSMUSG00000041134","ENSRNOG00000001544"
"8109","ENSMUSG00000028608","ENSRNOG00000012724"
"8124","ENSMUSG00000047044","ENSRNOG00000025644"
"8127","ENSMUSG00000020255","ENSRNOG00000008696"
"8129","ENSMUSG00000041623","ENSRNOG00000024780"
"8137","ENSMUSG00000006711","ENSRNOG00000018141"
"8146","ENSMUSG00000022864","ENSRNOG00000001554"
"8148","ENSMUSG00000043311","ENSRNOG00000039658"
"8149","ENSMUSG00000044768","ENSRNOG00000032398"
"8150","ENSMUSG00000039224","ENSRNOG00000002501"
"8152","ENSMUSG00000031889","ENSRNOG00000014668"
"8155","ENSMUSG00000073609","ENSRNOG00000019012"
"8163","ENSMUSG00000025766","ENSRNOG00000038330"
"8167","ENSMUSG00000094910","ENSRNOG00000048986"
"8171","ENSMUSG00000068373","ENSRNOG00000011132"
"8172","ENSMUSG00000032743","ENSRNOG00000016635"
"8179","ENSMUSG00000029190","ENSRNOG00000027623"
"8183","ENSMUSG00000037813","ENSRNOG00000014424"
"8195","ENSMUSG00000052117","ENSRNOG00000012068"
"8197","ENSMUSG00000063455","ENSRNOG00000013729"
"8200","ENSMUSG00000030347","ENSRNOG00000055036"
"8210","ENSMUSG00000030994","ENSRNOG00000027542"
"8252","ENSMUSG00000047642","ENSRNOG00000023824"
"8259","ENSMUSG00000034574","ENSRNOG00000004345"
"8260","ENSMUSG00000040260","ENSRNOG00000053945"
"8261","ENSMUSG00000028519","ENSRNOG00000007410"
"8262","ENSMUSG00000022150","ENSRNOG00000028930"
"8263","ENSMUSG00000026883","ENSRNOG00000055226"
"8264","ENSMUSG00000055639","ENSRNOG00000008834"
"8265","ENSMUSG00000025592","ENSRNOG00000004869"
"8266","ENSMUSG00000044548","ENSRNOG00000008445"
"8267","ENSMUSG00000048826","ENSRNOG00000022921"
"8268","ENSMUSG00000078794","ENSRNOG00000052256"
"8269","ENSMUSG00000022174","ENSRNOG00000009090"
"8270","ENSMUSG00000039952","ENSRNOG00000019400"
"8271","ENSMUSG00000035735","ENSRNOG00000027264"
"8272","ENSMUSG00000039206","ENSRNOG00000001079"
"8274","ENSMUSG00000019039","ENSRNOG00000020159"
"8276","ENSMUSG00000053226","ENSRNOG00000033368"
"8277","ENSMUSG00000042096","ENSRNOG00000054962"
"8278","ENSMUSG00000039168","ENSRNOG00000010747"
"8279","ENSMUSG00000068921","ENSRNOG00000020373"
"8280","ENSMUSG00000021559","ENSRNOG00000018198"
"8281","ENSMUSG00000032380","ENSRNOG00000017332"
"8282","ENSMUSG00000034974","ENSRNOG00000020383"
"8283","ENSMUSG00000026989","ENSRNOG00000005743"
"8284","ENSMUSG00000028159","ENSRNOG00000010575"
"8285","ENSMUSG00000026356","ENSRNOG00000003743"
"8286","ENSMUSG00000026709","ENSRNOG00000002813"
"8288","ENSMUSG00000002307","ENSRNOG00000000477"
"8289","ENSMUSG00000069565","ENSRNOG00000031387"
"8290","ENSMUSG00000000346","ENSRNOG00000004628"
"8291","ENSMUSG00000010592","ENSRNOG00000023474"
"8292","ENSMUSG00000002297","ENSRNOG00000050482"
"8293","ENSMUSG00000000889","ENSRNOG00000006641"
"8295","ENSMUSG00000026385","ENSRNOG00000046889"
"8296","ENSMUSG00000038057","ENSRNOG00000007771"
"8297","ENSMUSG00000034675","ENSRNOG00000014170"
"8298","ENSMUSG00000031970","ENSRNOG00000026974"
"8299","ENSMUSG00000017734","ENSRNOG00000014571"
"8300","ENSMUSG00000020476","ENSRNOG00000012378"
"8301","ENSMUSG00000059824","ENSRNOG00000021027"
"8303","ENSMUSG00000032469","ENSRNOG00000014588"
"8304","ENSMUSG00000000340","ENSRNOG00000015029"
"8305","ENSMUSG00000030507","ENSRNOG00000014706"
"8306","ENSMUSG00000045608","ENSRNOG00000006885"
"8307","ENSMUSG00000040325","ENSRNOG00000013841"
"8308","ENSMUSG00000035572","ENSRNOG00000011655"
"8309","ENSMUSG00000022214","ENSRNOG00000018825"
"8310","ENSMUSG00000028436","ENSRNOG00000050790"
"8311","ENSMUSG00000045284","ENSRNOG00000023458"
"8312","ENSMUSG00000050926","ENSRNOG00000031533"
"8313","ENSMUSG00000022300","ENSRNOG00000004301"
"8315","ENSMUSG00000037103","ENSRNOG00000006551"
"8316","ENSMUSG00000041966","ENSRNOG00000009403"
"8317","ENSMUSG00000021222","ENSRNOG00000008399"
"8318","ENSMUSG00000049106","ENSRNOG00000004556"
"8319","ENSMUSG00000026571","ENSRNOG00000003078"
"8320","ENSMUSG00000049354","ENSRNOG00000042245"
"8321","ENSMUSG00000026554","ENSRNOG00000006785"
"8323","ENSMUSG00000020935","ENSRNOG00000021682"
"8324","ENSMUSG00000019891","ENSRNOG00000000407"
"8325","ENSMUSG00000035107","ENSRNOG00000055281"
"8326","ENSMUSG00000060534","ENSRNOG00000033099"
"8327","ENSMUSG00000035910","ENSRNOG00000017511"
"8328","ENSMUSG00000078552","ENSRNOG00000048876"
"8331","ENSMUSG00000036862","ENSRNOG00000031643"
"8333","ENSMUSG00000029366","ENSRNOG00000003296"
"8334","ENSMUSG00000027797","ENSRNOG00000032922"
"8335","ENSMUSG00000028078","ENSRNOG00000016550"
"8336","ENSMUSG00000032500","ENSRNOG00000033026"
"8337","ENSMUSG00000025077","ENSRNOG00000026204"
"8338","ENSMUSG00000027845","ENSRNOG00000019367"
"8339","ENSMUSG00000026648","ENSRNOG00000015980"
"8340","ENSMUSG00000019929","ENSRNOG00000004554"
"8341","ENSMUSG00000021962","ENSRNOG00000016015"
"8342","ENSMUSG00000041477","ENSRNOG00000007340"
"8349","ENSMUSG00000032040","ENSRNOG00000009993"
"8350","ENSMUSG00000042672","ENSRNOG00000020621"
"8351","ENSMUSG00000109293","ENSRNOG00000058618"
"8355","ENSMUSG00000031562","ENSRNOG00000013215"
"8356","ENSMUSG00000031865","ENSRNOG00000010048"
"8357","ENSMUSG00000025410","ENSRNOG00000025481"
"8358","ENSMUSG00000028447","ENSRNOG00000014208"
"8359","ENSMUSG00000024603","ENSRNOG00000019298"
"8360","ENSMUSG00000030868","ENSRNOG00000018048"
"8361","ENSMUSG00000031516","ENSRNOG00000013254"
"8362","ENSMUSG00000042462","ENSRNOG00000017850"
"8366","ENSMUSG00000048787","ENSRNOG00000014037"
"8367","ENSMUSG00000051674","ENSRNOG00000002152"
"8368","ENSMUSG00000032002","ENSRNOG00000008390"
"8369","ENSMUSG00000031285","ENSRNOG00000047712"
"8370","ENSMUSG00000039450","ENSRNOG00000050315"
"8371","ENSMUSG00000074247","ENSRNOG00000039417"
"8372","ENSMUSG00000028194","ENSRNOG00000014613"
"8373","ENSMUSG00000007039","ENSRNOG00000000842"
"8374","ENSMUSG00000024740","ENSRNOG00000020715"
"8375","ENSMUSG00000002109","ENSRNOG00000014071"
"8376","ENSMUSG00000020182","ENSRNOG00000004327"
"8377","ENSMUSG00000037697","ENSRNOG00000009481"
"8378","ENSMUSG00000061313","ENSRNOG00000015501"
"8381","ENSMUSG00000030641","ENSRNOG00000022521"
"8383","ENSMUSG00000025408","ENSRNOG00000006789"
"8384","ENSMUSG00000020108","ENSRNOG00000057078"
"8385","ENSMUSG00000046818","ENSRNOG00000010047"
"8386","ENSMUSG00000059213","ENSRNOG00000059605"
"8387","ENSMUSG00000063428","ENSRNOG00000000582"
"8388","ENSMUSG00000028757","ENSRNOG00000015079"
"8389","ENSMUSG00000003534","ENSRNOG00000057125"
"8390","ENSMUSG00000026674","ENSRNOG00000002881"
"8391","ENSMUSG00000068290","ENSRNOG00000021232"
"8392","ENSMUSG00000001666","ENSRNOG00000001239"
"8393","ENSMUSG00000037149","ENSRNOG00000006652"
"8394","ENSMUSG00000053289","ENSRNOG00000012500"
"8395","ENSMUSG00000035842","ENSRNOG00000051528"
"8396","ENSMUSG00000055065","ENSRNOG00000051170"
"8397","ENSMUSG00000001674","ENSRNOG00000025430"
"8399","ENSMUSG00000033658","ENSRNOG00000018033"
"8400","ENSMUSG00000027905","ENSRNOG00000015274"
"8403","ENSMUSG00000003360","ENSRNOG00000060154"
"8404","ENSMUSG00000041645","ENSRNOG00000009166"
"8405","ENSMUSG00000032101","ENSRNOG00000012260"
"8406","ENSMUSG00000017999","ENSRNOG00000008081"
"8407","ENSMUSG00000045538","ENSRNOG00000019817"
"8408","ENSMUSG00000026806","ENSRNOG00000013040"
"8409","ENSMUSG00000005481","ENSRNOG00000004373"
"8410","ENSMUSG00000019432","ENSRNOG00000000841"
"8411","ENSMUSG00000000787","ENSRNOG00000023383"
"8412","ENSMUSG00000069045","ENSRNOG00000057231"
"8413","ENSMUSG00000021758","ENSRNOG00000026686"
"8414","ENSMUSG00000021494","ENSRNOG00000012771"
"8415","ENSMUSG00000020705","ENSRNOG00000009474"
"8416","ENSMUSG00000070291","ENSRNOG00000050868"
"8417","ENSMUSG00000021500","ENSRNOG00000021637"
"8418","ENSMUSG00000030204","ENSRNOG00000007838"
"8419","ENSMUSG00000057788","ENSRNOG00000022368"
"8420","ENSMUSG00000020719","ENSRNOG00000030680"
"8421","ENSMUSG00000020076","ENSRNOG00000000396"
"8422","ENSMUSG00000029504","ENSRNOG00000037480"
"8423","ENSMUSG00000020677","ENSRNOG00000002612"
"8424","ENSMUSG00000029599","ENSRNOG00000001377"
"8425","ENSMUSG00000029389","ENSRNOG00000001043"
"8426","ENSMUSG00000004393","ENSRNOG00000004670"
"8427","ENSMUSG00000040296","ENSRNOG00000006384"
"8428","ENSMUSG00000026404","ENSRNOG00000042451"
"8429","ENSMUSG00000032097","ENSRNOG00000053932"
"8430","ENSMUSG00000037921","ENSRNOG00000059097"
"8431","ENSMUSG00000058886","ENSRNOG00000017960"
"8432","ENSMUSG00000028223","ENSRNOG00000008236"
"8434","ENSMUSG00000013973","ENSRNOG00000003779"
"8435","ENSMUSG00000054499","ENSRNOG00000046112"
"8436","ENSMUSG00000002257","ENSRNOG00000000502"
"8437","ENSMUSG00000001482","ENSRNOG00000000264"
"8595","ENSMUSG00000044748","ENSRNOG00000013768"
"8603","ENSMUSG00000044222","ENSRNOG00000038157"
"8604","ENSMUSG00000046354","ENSRNOG00000032304"
"8607","ENSMUSG00000073735","ENSRNOG00000039650"
"8608","ENSMUSG00000050645","ENSRNOG00000036897"
"8609","ENSMUSG00000006570","ENSRNOG00000038151"
"8610","ENSMUSG00000049560","ENSRNOG00000023384"
"8611","ENSMUSG00000056544","ENSRNOG00000023154"
"8612","ENSMUSG00000027468","ENSRNOG00000007525"
"8613","ENSMUSG00000074681","ENSRNOG00000023477"
"8614","ENSMUSG00000074678","ENSRNOG00000036895"
"8615","ENSMUSG00000074680","ENSRNOG00000053114"
"8616","ENSMUSG00000074679","ENSRNOG00000036900"
"8617","ENSMUSG00000044249","ENSRNOG00000023195"
"8620","ENSMUSG00000075571","ENSRNOG00000038758"
"8621","ENSMUSG00000074454","ENSRNOG00000038128"
"8625","ENSMUSG00000044863","ENSRNOG00000007558"
"8627","ENSMUSG00000053790","ENSRNOG00000032089"
"8628","ENSMUSG00000061847","ENSRNOG00000034275"
"8631","ENSMUSG00000053678","ENSRNOG00000033538"
"8632","ENSMUSG00000067773","ENSRNOG00000039640"
"8633","ENSMUSG00000054763","ENSRNOG00000038757"
"8634","ENSMUSG00000075572","ENSRNOG00000038759"
"8636","ENSMUSG00000062124","ENSRNOG00000036896"
"8638","ENSMUSG00000075573","ENSRNOG00000038760"
"8639","ENSMUSG00000075574","ENSRNOG00000038762"
"8641","ENSMUSG00000058568","ENSRNOG00000033972"
"8646","ENSMUSG00000038633","ENSRNOG00000003223"
"8647","ENSMUSG00000021263","ENSRNOG00000011716"
"8648","ENSMUSG00000021377","ENSRNOG00000016152"
"8649","ENSMUSG00000024442","ENSRNOG00000019276"
"8650","ENSMUSG00000031024","ENSRNOG00000013934"
"8651","ENSMUSG00000037172","ENSRNOG00000011854"
"8652","ENSMUSG00000035392","ENSRNOG00000010526"
"8653","ENSMUSG00000056268","ENSRNOG00000011063"
"8654","ENSMUSG00000002668","ENSRNOG00000046050"
"8655","ENSMUSG00000038456","ENSRNOG00000026748"
"8656","ENSMUSG00000007379","ENSRNOG00000018716"
"8657","ENSMUSG00000027901","ENSRNOG00000017680"
"8658","ENSMUSG00000036661","ENSRNOG00000010794"
"8659","ENSMUSG00000053641","ENSRNOG00000011739"
"8660","ENSMUSG00000042404","ENSRNOG00000022373"
"8661","ENSMUSG00000038024","ENSRNOG00000008036"
"8662","ENSMUSG00000035901","ENSRNOG00000012206"
"8663","ENSMUSG00000030313","ENSRNOG00000049378"
"8665","ENSMUSG00000040818","ENSRNOG00000011636"
"8666","ENSMUSG00000015377","ENSRNOG00000029866"
"8667","ENSMUSG00000023106","ENSRNOG00000001106"
"8668","ENSMUSG00000028175","ENSRNOG00000009503"
"8669","ENSMUSG00000021697","ENSRNOG00000010701"
"8670","ENSMUSG00000037426","ENSRNOG00000018144"
"8671","ENSMUSG00000027173","ENSRNOG00000012262"
"8672","ENSMUSG00000048489","ENSRNOG00000023465"
"8673","ENSMUSG00000022419","ENSRNOG00000004328"
"8674","ENSMUSG00000030225","ENSRNOG00000007570"
"8675","ENSMUSG00000022365","ENSRNOG00000005551"
"8676","ENSMUSG00000018442","ENSRNOG00000055466"
"8679","ENSMUSG00000026208","ENSRNOG00000019810"
"8680","ENSMUSG00000022472","ENSRNOG00000005577"
"8682","ENSMUSG00000026502","ENSRNOG00000004524"
"8683","ENSMUSG00000030610","ENSRNOG00000018515"
"8684","ENSMUSG00000039977","ENSRNOG00000061247"
"8685","ENSMUSG00000038055","ENSRNOG00000002635"
"8686","ENSMUSG00000028974","ENSRNOG00000013603"
"8687","ENSMUSG00000029027","ENSRNOG00000025030"
"8688","ENSMUSG00000022555","ENSRNOG00000028711"
"8689","ENSMUSG00000030747","ENSRNOG00000016573"
"8690","ENSMUSG00000067597","ENSRNOG00000038046"
"8694","ENSMUSG00000003531","ENSRNOG00000001880"
"8698","ENSMUSG00000025357","ENSRNOG00000022943"
"8699","ENSMUSG00000036095","ENSRNOG00000030771"
"8700","ENSMUSG00000070738","ENSRNOG00000023238"
"8701","ENSMUSG00000000276","ENSRNOG00000002338"
"8703","ENSMUSG00000022861","ENSRNOG00000001796"
"8704","ENSMUSG00000034731","ENSRNOG00000010065"
"8705","ENSMUSG00000038665","ENSRNOG00000026705"
"8707","ENSMUSG00000062393","ENSRNOG00000039323"
"8708","ENSMUSG00000004815","ENSRNOG00000024112"
"8709","ENSMUSG00000040479","ENSRNOG00000017737"
"8710","ENSMUSG00000021185","ENSRNOG00000004442"
"8711","ENSMUSG00000014554","ENSRNOG00000011617"
"8712","ENSMUSG00000034926","ENSRNOG00000006787"
"8713","ENSMUSG00000058454","ENSRNOG00000020776"
"8714","ENSMUSG00000012117","ENSRNOG00000014665"
"8716","ENSMUSG00000021707","ENSRNOG00000013521"
"8717","ENSMUSG00000023000","ENSRNOG00000053675"
"8718","ENSMUSG00000031730","ENSRNOG00000015063"
"8719","ENSMUSG00000060038","ENSRNOG00000004219"
"8720","ENSMUSG00000002332","ENSRNOG00000020264"
"8721","ENSMUSG00000034449","ENSRNOG00000027891"
"8722","ENSMUSG00000020834","ENSRNOG00000009673"
"8724","ENSMUSG00000022209","ENSRNOG00000018177"
"8725","ENSMUSG00000066026","ENSRNOG00000015736"
"8726","ENSMUSG00000022210","ENSRNOG00000018239"
"8727","ENSMUSG00000021094","ENSRNOG00000005589"
"8728","ENSMUSG00000042569","ENSRNOG00000005360"
"8729","ENSMUSG00000033044","ENSRNOG00000026548"
"8730","ENSMUSG00000027068","ENSRNOG00000058568"
"8733","ENSMUSG00000029169","ENSRNOG00000003844"
"8734","ENSMUSG00000024422","ENSRNOG00000030157"
"8735","ENSMUSG00000042426","ENSRNOG00000010369"
"8736","ENSMUSG00000032480","ENSRNOG00000029194"
"8737","ENSMUSG00000030986","ENSRNOG00000018119"
"8738","ENSMUSG00000040620","ENSRNOG00000007054"
"8739","ENSMUSG00000006019","ENSRNOG00000047575"
"8740","ENSMUSG00000027655","ENSRNOG00000015928"
"8741","ENSMUSG00000027770","ENSRNOG00000014599"
"8742","ENSMUSG00000029480","ENSRNOG00000022171"
"8743","ENSMUSG00000037993","ENSRNOG00000014619"
"8744","ENSMUSG00000018425","ENSRNOG00000004549"
"8745","ENSMUSG00000035051","ENSRNOG00000054272"
"8746","ENSMUSG00000017830","ENSRNOG00000018247"
"8748","ENSMUSG00000034931","ENSRNOG00000020772"
"8749","ENSMUSG00000042699","ENSRNOG00000002735"
"8752","ENSMUSG00000024456","ENSRNOG00000019688"
"8753","ENSMUSG00000034480","ENSRNOG00000057826"
"8754","ENSMUSG00000022021","ENSRNOG00000008986"
"8755","ENSMUSG00000041415","ENSRNOG00000010711"
"8756","ENSMUSG00000038914","ENSRNOG00000009936"
"8757","ENSMUSG00000021692","ENSRNOG00000013596"
"8758","ENSMUSG00000034785","ENSRNOG00000061237"
"8759","ENSMUSG00000007682","ENSRNOG00000057724"
"8762","ENSMUSG00000020231","ENSRNOG00000043212"
"8763","ENSMUSG00000023026","ENSRNOG00000056106"
"8764","ENSMUSG00000048264","ENSRNOG00000015288"
"8765","ENSMUSG00000029270","ENSRNOG00000023533"
"8766","ENSMUSG00000036186","ENSRNOG00000004532"
"8767","ENSMUSG00000047992","ENSRNOG00000015448"
"8768","ENSMUSG00000045414","ENSRNOG00000008519"
"8769","ENSMUSG00000037358","ENSRNOG00000004265"
"8770","ENSMUSG00000043670","ENSRNOG00000029738"
"8771","ENSMUSG00000047842","ENSRNOG00000032328"
"8772","ENSMUSG00000033166","ENSRNOG00000009125"
"8773","ENSMUSG00000032396","ENSRNOG00000010537"
"8774","ENSMUSG00000053333","ENSRNOG00000018931"
"8775","ENSMUSG00000043051","ENSRNOG00000019779"
"8776","ENSMUSG00000030768","ENSRNOG00000003635"
"8777","ENSMUSG00000040035","ENSRNOG00000026787"
"8778","ENSMUSG00000041544","ENSRNOG00000026447"
"8779","ENSMUSG00000032064","ENSRNOG00000010260"
"8780","ENSMUSG00000031403","ENSRNOG00000055562"
"8783","ENSMUSG00000028031","ENSRNOG00000011360"
"8784","ENSMUSG00000030772","ENSRNOG00000016343"
"8785","ENSMUSG00000031535","ENSRNOG00000019267"
"8786","ENSMUSG00000030792","ENSRNOG00000020686"
"8787","ENSMUSG00000000168","ENSRNOG00000009994"
"8788","ENSMUSG00000031523","ENSRNOG00000010780"
"8789","ENSMUSG00000020664","ENSRNOG00000006364"
"8790","ENSMUSG00000038060","ENSRNOG00000032085"
"8792","ENSMUSG00000048281","ENSRNOG00000009181"
"8793","ENSMUSG00000022770","ENSRNOG00000038597"
"8794","ENSMUSG00000052572","ENSRNOG00000022635"
"8795","ENSMUSG00000000881","ENSRNOG00000002767"
"8796","ENSMUSG00000020886","ENSRNOG00000018526"
"8797","ENSMUSG00000021782","ENSRNOG00000005783"
"8798","ENSMUSG00000003279","ENSRNOG00000016196"
"8799","ENSMUSG00000047495","ENSRNOG00000012573"
"8800","ENSMUSG00000042388","ENSRNOG00000014302"
"8801","ENSMUSG00000061689","ENSRNOG00000020225"
"8802","ENSMUSG00000037544","ENSRNOG00000010721"
"8804","ENSMUSG00000040856","ENSRNOG00000019584"
"8805","ENSMUSG00000047428","ENSRNOG00000018949"
"8806","ENSMUSG00000014773","ENSRNOG00000059984"
"8807","ENSMUSG00000003436","ENSRNOG00000019338"
"8808","ENSMUSG00000027314","ENSRNOG00000014011"
"8809","ENSMUSG00000004789","ENSRNOG00000005061"
"8810","ENSMUSG00000041911","ENSRNOG00000001520"
"8812","ENSMUSG00000023391","ENSRNOG00000001519"
"8813","ENSMUSG00000001510","ENSRNOG00000004278"
"8814","ENSMUSG00000020871","ENSRNOG00000004399"
"8816","ENSMUSG00000029755","ENSRNOG00000010905"
"8817","ENSMUSG00000029754","ENSRNOG00000010822"
"8820","ENSMUSG00000098326","ENSRNOG00000059652"
"8821","ENSMUSG00000098326","ENSRNOG00000059652"
"8823","ENSMUSG00000028398","ENSRNOG00000023946"
"8824","ENSMUSG00000057229","ENSRNOG00000020596"
"8825","ENSMUSG00000054894","ENSRNOG00000004893"
"8826","ENSMUSG00000009640","ENSRNOG00000019407"
"8828","ENSMUSG00000028707","ENSRNOG00000010835"
"8829","ENSMUSG00000022429","ENSRNOG00000013807"
"8830","ENSMUSG00000045103","ENSRNOG00000046366"
"8831","ENSMUSG00000042102","ENSRNOG00000023588"
"8832","ENSMUSG00000060962","ENSRNOG00000055934"
"8833","ENSMUSG00000029307","ENSRNOG00000002167"
"8834","ENSMUSG00000030409","ENSRNOG00000015085"
"8835","ENSMUSG00000024837","ENSRNOG00000016075"
"8837","ENSMUSG00000048138","ENSRNOG00000016301"
"8838","ENSMUSG00000042372","ENSRNOG00000016284"
"8839","ENSMUSG00000043753","ENSRNOG00000024093"
"8840","ENSMUSG00000047143","ENSRNOG00000008105"
"8842","ENSMUSG00000028610","ENSRNOG00000023213"
"8843","ENSMUSG00000031323","ENSRNOG00000060738"
"8849","ENSMUSG00000042508","ENSRNOG00000005908"
"8850","ENSMUSG00000022099","ENSRNOG00000012273"
"8851","ENSMUSG00000030410","ENSRNOG00000014984"
"8852","ENSMUSG00000037416","ENSRNOG00000024671"
"8853","ENSMUSG00000041268","ENSRNOG00000009170"
"8854","ENSMUSG00000036875","ENSRNOG00000000387"
"8855","ENSMUSG00000031831","ENSRNOG00000015590"
"8856","ENSMUSG00000020973","ENSRNOG00000028155"
"8857","ENSMUSG00000055809","ENSRNOG00000038600"
"8859","ENSMUSG00000025857","ENSRNOG00000021312"
"8860","ENSMUSG00000019027","ENSRNOG00000026914"
"8862","ENSMUSG00000018581","ENSRNOG00000005451"
"8863","ENSMUSG00000021879","ENSRNOG00000059865"
"8865","ENSMUSG00000047369","ENSRNOG00000048741"
"8866","ENSMUSG00000033987","ENSRNOG00000003028"
"8867","ENSMUSG00000005237","ENSRNOG00000052688"
"8870","ENSMUSG00000022262","ENSRNOG00000048363"
"8871","ENSMUSG00000052861","ENSRNOG00000015581"
